method,representation,guard_type,positive_budget,seed,seed_group,ood_negative_weight,threshold_policy,uses_id_calib,uses_ood_val,uses_final_ood_eval,uses_attack_eval,threshold,id_calib_alarm_at_selection,ood_val_alarm_at_selection,paper_safe
transformer_hidden_fixed_guard_lr,transformer_hidden,fixed_ood_weight_2,32,49,heldout_support_47_51,2.0,guarded_id_calib_and_ood_val_target1pct,True,True,False,False,0.07759207717995739,0.0,0.01,True
transformer_hidden_fixed_guard_lr,transformer_hidden,fixed_ood_weight_2,32,50,heldout_support_47_51,2.0,guarded_id_calib_and_ood_val_target1pct,True,True,False,False,1.64435364723217,0.0002,0.01,True
transformer_hidden_fixed_guard_lr,transformer_hidden,fixed_ood_weight_2,32,51,heldout_support_47_51,2.0,guarded_id_calib_and_ood_val_target1pct,True,True,False,False,-0.2152825983903144,0.0002,0.01,True
original100_plus_transformer_hidden_fixed_guard_lr,original100_plus_transformer_hidden,fixed_ood_weight_2,16,42,main_paired_42_46,2.0,guarded_id_calib_and_ood_val_target1pct,True,True,False,False,-4.609935920932361,0.01,0.0025,True
original100_plus_transformer_hidden_fixed_guard_lr,original100_plus_transformer_hidden,fixed_ood_weight_2,16,43,main_paired_42_46,2.0,guarded_id_calib_and_ood_val_target1pct,True,True,False,False,-3.5338941466904754,0.0098,0.001,True
original100_plus_transformer_hidden_fixed_guard_lr,original100_plus_transformer_hidden,fixed_ood_weight_2,16,44,main_paired_42_46,2.0,guarded_id_calib_and_ood_val_target1pct,True,True,False,False,-2.6889987407222864,0.01,0.0015,True
original100_plus_transformer_hidden_fixed_guard_lr,original100_plus_transformer_hidden,fixed_ood_weight_2,16,45,main_paired_42_46,2.0,guarded_id_calib_and_ood_val_target1pct,True,True,False,False,-4.011433860053371,0.0098,0.002,True
original100_plus_transformer_hidden_fixed_guard_lr,original100_plus_transformer_hidden,fixed_ood_weight_2,16,46,main_paired_42_46,2.0,guarded_id_calib_and_ood_val_target1pct,True,True,False,False,-2.8709485700507753,0.01,0.0025,True
original100_plus_transformer_hidden_fixed_guard_lr,original100_plus_transformer_hidden,fixed_ood_weight_2,16,47,heldout_support_47_51,2.0,guarded_id_calib_and_ood_val_target1pct,True,True,False,False,-4.569872264705188,0.01,0.003,True
original100_plus_transformer_hidden_fixed_guard_lr,original100_plus_transformer_hidden,fixed_ood_weight_2,16,48,heldout_support_47_51,2.0,guarded_id_calib_and_ood_val_target1pct,True,True,False,False,-3.0352828883973277,0.0098,0.001,True
original100_plus_transformer_hidden_fixed_guard_lr,original100_plus_transformer_hidden,fixed_ood_weight_2,16,49,heldout_support_47_51,2.0,guarded_id_calib_and_ood_val_target1pct,True,True,False,False,-2.94481268671407,0.0098,0.001,True
original100_plus_transformer_hidden_fixed_guard_lr,original100_plus_transformer_hidden,fixed_ood_weight_2,16,50,heldout_support_47_51,2.0,guarded_id_calib_and_ood_val_target1pct,True,True,False,False,-3.3779783951346043,0.01,0.0005,True
original100_plus_transformer_hidden_fixed_guard_lr,original100_plus_transformer_hidden,fixed_ood_weight_2,16,51,heldout_support_47_51,2.0,guarded_id_calib_and_ood_val_target1pct,True,True,False,False,-3.4920185501818533,0.01,0.003,True
original100_plus_transformer_hidden_fixed_guard_lr,original100_plus_transformer_hidden,fixed_ood_weight_2,32,42,main_paired_42_46,2.0,guarded_id_calib_and_ood_val_target1pct,True,True,False,False,-3.7329827838833682,0.0098,0.002,True
original100_plus_transformer_hidden_fixed_guard_lr,original100_plus_transformer_hidden,fixed_ood_weight_2,32,43,main_paired_42_46,2.0,guarded_id_calib_and_ood_val_target1pct,True,True,False,False,-3.69106219047187,0.0098,0.001,True
original100_plus_transformer_hidden_fixed_guard_lr,original100_plus_transformer_hidden,fixed_ood_weight_2,32,44,main_paired_42_46,2.0,guarded_id_calib_and_ood_val_target1pct,True,True,False,False,-3.53707277158961,0.0098,0.001,True
original100_plus_transformer_hidden_fixed_guard_lr,original100_plus_transformer_hidden,fixed_ood_weight_2,32,45,main_paired_42_46,2.0,guarded_id_calib_and_ood_val_target1pct,True,True,False,False,-3.0851359247065364,0.0098,0.0035,True
original100_plus_transformer_hidden_fixed_guard_lr,original100_plus_transformer_hidden,fixed_ood_weight_2,32,46,main_paired_42_46,2.0,guarded_id_calib_and_ood_val_target1pct,True,True,False,False,-4.329478674510942,0.01,0.0015,True
original100_plus_transformer_hidden_fixed_guard_lr,original100_plus_transformer_hidden,fixed_ood_weight_2,32,47,heldout_support_47_51,2.0,guarded_id_calib_and_ood_val_target1pct,True,True,False,False,-2.258182422563863,0.0098,0.002,True
original100_plus_transformer_hidden_fixed_guard_lr,original100_plus_transformer_hidden,fixed_ood_weight_2,32,48,heldout_support_47_51,2.0,guarded_id_calib_and_ood_val_target1pct,True,True,False,False,-3.9954105746196236,0.01,0.006,True
original100_plus_transformer_hidden_fixed_guard_lr,original100_plus_transformer_hidden,fixed_ood_weight_2,32,49,heldout_support_47_51,2.0,guarded_id_calib_and_ood_val_target1pct,True,True,False,False,-2.915384548549658,0.0098,0.002,True
original100_plus_transformer_hidden_fixed_guard_lr,original100_plus_transformer_hidden,fixed_ood_weight_2,32,50,heldout_support_47_51,2.0,guarded_id_calib_and_ood_val_target1pct,True,True,False,False,-2.8173594579989274,0.01,0.0015,True
original100_plus_transformer_hidden_fixed_guard_lr,original100_plus_transformer_hidden,fixed_ood_weight_2,32,51,heldout_support_47_51,2.0,guarded_id_calib_and_ood_val_target1pct,True,True,False,False,-3.0844718060422402,0.01,0.0025,True
